"","year","n"
"1",1908,1
"2",1915,1
"3",1920,1
"4",1929,1
"5",1953,1
"6",1957,1
"7",1964,3
"8",1974,1
"9",1976,3
"10",1977,2
"11",1979,1
"12",1980,4
"13",1983,1
"14",1984,1
"15",1987,4
"16",1988,2
"17",1989,1
"18",1990,1
"19",1991,16
"20",1992,4
"21",1993,6
"22",1994,5
"23",1995,9
"24",1996,6
"25",1997,16
"26",1998,25
"27",1999,15
"28",2000,70
"29",2001,95
"30",2002,35
"31",2003,57
"32",2004,95
"33",2005,119
"34",2006,232
"35",2007,1057
"36",2008,64478
"37",2009,65084
"38",2010,63252
"39",2011,59238
"40",2012,58980
"41",2013,63667
"42",2014,69552
"43",2015,67857
"44",2016,70396
"45",2017,73070
"46",2018,75303
"47",2019,70406
"48",2020,76222
"49",2021,71068
"50",2022,74288
"51",2023,7459
"52",NA,1203
